A,B,X,rA,rB,rX,TF,target
Tetramethylammoium,Ba,Cl,292,135,181.380479,1.058,0
Thiazolium,Ba,Cl,320,135,181.0591877,1.121,0
Tropylium,Ba,Cl,333,135,181.1194092,1.15,0
Ammonium,Mn,Cl,146,83,180.7626752,0.876,1
Hydroxylammonium,Mn,Cl,216,83,181.2511768,1.063,0
Methylammonium,Mn,Cl,217,83,181.0125355,1.066,0
Hydrazinium,Mn,Cl,217,83,181.0125355,1.066,0
Azetidinium,Mn,Cl,250,83,181.2394816,1.154,0
Formamidinium,Mn,Cl,253,83,181.255759,1.162,0
Imidazolium,Mn,Cl,258,83,180.9058996,1.176,0
Dimethylammonium,Mn,Cl,272,83,181.1727081,1.213,0
Pyrrolinium,Mn,Cl,272,83,181.1727081,1.213,0
Ethylammonium,Mn,Cl,274,83,180.8390005,1.219,0
Guanidinium,Mn,Cl,278,83,181.2031308,1.229,0
Tetramethylammoium,Mn,Cl,292,83,180.9526829,1.267,0
Thiazolium,Mn,Cl,320,83,180.9566815,1.342,0
Tropylium,Mn,Cl,333,83,180.887871,1.377,0
Ammonium,Fe,Cl,146,78,180.6606517,0.893,1
Hydroxylammonium,Fe,Cl,216,78,180.9081759,1.084,0
Methylammonium,Fe,Cl,217,78,180.7249198,1.087,0
Hydrazinium,Fe,Cl,217,78,180.7249198,1.087,0
Azetidinium,Fe,Cl,250,78,180.8297968,1.177,0
Formamidinium,Fe,Cl,253,78,180.9358498,1.185,0
Imidazolium,Fe,Cl,258,78,180.7537615,1.199,0
Dimethylammonium,Fe,Cl,272,78,180.8799227,1.237,0
Pyrrolinium,Fe,Cl,272,78,180.8799227,1.237,0
Ethylammonium,Fe,Cl,274,78,181.1039188,1.242,0
Guanidinium,Fe,Cl,278,78,181.0641381,1.253,0
Tetramethylammoium,Fe,Cl,292,78,181.1584322,1.291,0
Thiazolium,Fe,Cl,320,78,180.9220712,1.368,0
Tropylium,Fe,Cl,333,78,181.1090477,1.403,0
Ammonium,Co,Cl,146,74.5,180.9818965,0.905,1
Hydroxylammonium,Co,Cl,216,74.5,180.8134495,1.099,0
Methylammonium,Co,Cl,217,74.5,181.3122646,1.101,0
Hydrazinium,Co,Cl,217,74.5,181.3122646,1.101,0
Azetidinium,Co,Cl,250,74.5,180.9002305,1.193,0
Formamidinium,Co,Cl,253,74.5,181.0583993,1.201,0
Imidazolium,Co,Cl,258,74.5,180.9751462,1.215,0
Dimethylammonium,Co,Cl,272,74.5,180.8580562,1.254,0
Pyrrolinium,Co,Cl,272,74.5,180.8580562,1.254,0
Ethylammonium,Co,Cl,274,74.5,181.1070596,1.259,0
Guanidinium,Co,Cl,278,74.5,181.1368156,1.27,0
Tetramethylammoium,Co,Cl,292,74.5,181.0199496,1.309,0
Thiazolium,Co,Cl,320,74.5,180.8264395,1.387,0
Tropylium,Co,Cl,333,74.5,180.8273283,1.423,0
Ammonium,Ni,Cl,146,69,180.8802966,0.925,1
Hydroxylammonium,Ni,Cl,216,69,180.9312134,1.123,0
Methylammonium,Ni,Cl,217,69,180.8293095,1.126,0
Hydrazinium,Ni,Cl,217,69,180.8293095,1.126,0
Azetidinium,Ni,Cl,250,69,181.0254402,1.219,0
Formamidinium,Ni,Cl,253,69,180.7779642,1.228,0
Imidazolium,Ni,Cl,258,69,180.8502074,1.242,0
Dimethylammonium,Ni,Cl,272,69,181.1208794,1.281,0
Pyrrolinium,Ni,Cl,272,69,181.1208794,1.281,0
Ethylammonium,Ni,Cl,274,69,180.9716938,1.287,0
Guanidinium,Ni,Cl,278,69,181.1049472,1.298,0
Tetramethylammoium,Ni,Cl,292,69,180.9389873,1.338,0
Thiazolium,Ni,Cl,320,69,181.0147873,1.417,0
Tropylium,Ni,Cl,333,69,180.9369194,1.454,0
Ammonium,Pd,Cl,146,86,181.0120675,0.866,1
Hydroxylammonium,Pd,Cl,216,86,181.3035597,1.051,0
Methylammonium,Pd,Cl,217,86,181.0302655,1.054,0
Hydrazinium,Pd,Cl,217,86,181.0302655,1.054,0
Azetidinium,Pd,Cl,250,86,181.2673992,1.141,0
Formamidinium,Pd,Cl,253,86,181.2293383,1.149,0
Imidazolium,Pd,Cl,258,86,180.778187,1.163,0
Dimethylammonium,Pd,Cl,272,86,180.8364187,1.2,0
Pyrrolinium,Pd,Cl,272,86,180.8364187,1.2,0
Ethylammonium,Pd,Cl,274,86,180.9971589,1.205,0
Guanidinium,Pd,Cl,278,86,180.7838693,1.216,0
Tetramethylammoium,Pd,Cl,292,86,180.8360623,1.253,0
Thiazolium,Pd,Cl,320,86,180.9217565,1.327,0
Tropylium,Pd,Cl,333,86,181.1007589,1.361,0
Ammonium,Pt,Cl,146,80,180.8765602,0.886,1
Hydroxylammonium,Pt,Cl,216,80,180.6893197,1.076,0
Methylammonium,Pt,Cl,217,80,181.1900787,1.078,0
Hydrazinium,Pt,Cl,217,80,181.1900787,1.078,0
Azetidinium,Pt,Cl,250,80,180.8156247,1.168,0
Formamidinium,Pt,Cl,253,80,180.8898321,1.176,0
Imidazolium,Pt,Cl,258,80,181.1885831,1.189,0
Dimethylammonium,Pt,Cl,272,80,181.1392053,1.227,0
Pyrrolinium,Pt,Cl,272,80,181.1392053,1.227,0
Ethylammonium,Pt,Cl,274,80,180.8489911,1.233,0
Guanidinium,Pt,Cl,278,80,180.7727901,1.244,0
Tetramethylammoium,Pt,Cl,292,80,181.2099824,1.281,0
Thiazolium,Pt,Cl,320,80,181.1284786,1.357,0
Tropylium,Pt,Cl,333,80,180.8248788,1.393,0
Ammonium,Cu,Cl,146,73,181.413604,0.91,1
Hydroxylammonium,Cu,Cl,216,73,181.1291606,1.105,0
Methylammonium,Cu,Cl,217,73,180.9912668,1.108,0
Hydrazinium,Cu,Cl,217,73,180.9912668,1.108,0
Azetidinium,Cu,Cl,250,73,180.9249791,1.2,0
Formamidinium,Cu,Cl,253,73,181.1044994,1.208,0
Imidazolium,Cu,Cl,258,73,181.0619098,1.222,0
Dimethylammonium,Cu,Cl,272,73,181.0458064,1.261,0
Pyrrolinium,Cu,Cl,272,73,181.0458064,1.261,0
